Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),confidence,field,
111,32.23,1.536,54,277.332,-9.12,612977,0.809,1.283,-0.244,0,
3,32.32,1.768,26,277.382,12.46,613061,0.923,1.459,0.381,0,
7,32.30,1.700,33,277.382,11.66,613061,0.890,1.407,0.344,0,
11,32.31,1.620,41,277.382,10.86,613061,0.850,1.345,0.305,0,
15,32.32,1.596,45,277.382,10.06,613061,0.840,1.328,0.279,0,
19,27.51,1.500,83,277.382,9.26,613061,0.684,1.313,0.241,0,
23,27.50,1.528,68,277.382,8.46,613061,0.698,1.341,0.225,0,
27,27.51,1.532,68,277.382,7.66,613061,0.701,1.347,0.204,0,
31,27.52,1.540,73,277.382,6.86,613061,0.707,1.356,0.184,0,
35,32.32,1.592,52,277.382,6.07,613061,0.846,1.338,0.168,0,
39,32.31,1.496,66,277.382,5.27,613061,0.796,1.259,0.137,0,
43,32.32,1.552,71,277.382,4.47,613061,0.827,1.308,0.121,0,
47,32.33,1.560,61,277.382,3.67,613061,0.833,1.315,0.100,0,
51,27.52,1.520,73,277.382,2.87,613061,0.701,1.346,0.076,0,
55,27.51,1.492,68,277.382,2.07,613061,0.689,1.322,0.054,0,
59,27.54,1.520,69,277.382,1.27,613061,0.703,1.347,0.034,0,
63,27.54,1.548,67,277.382,0.47,613061,0.716,1.373,0.013,0,
67,32.44,1.556,57,277.432,-0.33,613061,0.835,1.313,-0.009,0,
71,32.41,1.544,58,277.432,-1.13,613061,0.827,1.303,-0.030,0,
75,32.44,1.560,59,277.432,-1.93,613061,0.836,1.316,-0.052,0,
79,32.43,1.516,60,277.432,-2.73,613061,0.812,1.278,-0.072,0,
83,27.63,1.560,85,277.432,-3.53,613061,0.722,1.380,-0.096,0,
87,27.61,1.564,79,277.432,-4.33,613061,0.723,1.382,-0.118,0,
91,27.63,1.488,70,277.432,-5.13,613061,0.687,1.313,-0.133,0,
95,27.62,1.476,61,277.432,-5.92,613061,0.681,1.301,-0.152,0,
99,32.41,1.568,55,277.432,-6.72,613061,0.835,1.315,-0.184,0,
103,32.40,1.512,52,277.432,-7.52,613061,0.803,1.266,-0.198,0,
107,32.42,1.552,53,277.432,-8.32,613061,0.823,1.296,-0.225,0,
111,32.43,1.608,53,277.432,-9.12,613061,0.852,1.340,-0.255,0,
115,27.60,1.632,44,277.432,-9.92,613061,0.745,1.425,-0.281,0,
3,32.52,1.736,28,277.482,12.46,613143,0.911,1.429,0.375,0,
7,32.50,1.680,33,277.482,11.66,613143,0.884,1.388,0.340,0,
11,32.51,1.612,41,277.482,10.86,613143,0.851,1.335,0.304,0,
15,32.52,1.608,45,277.482,10.06,613143,0.851,1.335,0.281,0,
19,27.71,1.524,86,277.482,9.26,613143,0.700,1.332,0.245,0,
23,27.70,1.528,77,277.482,8.46,613143,0.703,1.338,0.225,0,
27,27.71,1.552,71,277.482,7.66,613143,0.715,1.362,0.207,0,
31,27.72,1.520,70,277.482,6.86,613143,0.702,1.336,0.182,0,
35,32.52,1.584,51,277.482,6.07,613143,0.847,1.328,0.167,0,
39,32.51,1.560,62,277.482,5.27,613143,0.835,1.310,0.143,0,
43,32.52,1.532,66,277.482,4.47,613143,0.821,1.288,0.119,0,
47,32.53,1.568,56,277.482,3.67,613143,0.841,1.319,0.100,0,
51,27.72,1.496,64,277.482,2.87,613143,0.695,1.323,0.075,0,
55,27.71,1.536,73,277.482,2.07,613143,0.714,1.359,0.055,0,
59,27.74,1.556,74,277.482,1.27,613143,0.724,1.377,0.034,0,
63,27.74,1.552,60,277.482,0.47,613143,0.722,1.374,0.013,0,
67,32.64,1.564,60,277.532,-0.33,613143,0.843,1.317,-0.009,0,
71,32.61,1.556,60,277.532,-1.13,613143,0.838,1.310,-0.031,0,
75,32.64,1.552,59,277.532,-1.93,613143,0.837,1.306,-0.052,0,
79,32.63,1.516,60,277.532,-2.73,613143,0.816,1.275,-0.072,0,
83,27.83,1.524,78,277.532,-3.53,613143,0.710,1.345,-0.094,0,
87,27.81,1.516,78,277.532,-4.33,613143,0.705,1.337,-0.114,0,
91,27.83,1.508,72,277.532,-5.13,613143,0.701,1.328,-0.135,0,
95,27.82,1.504,64,277.532,-5.92,613143,0.698,1.323,-0.155,0,
99,32.61,1.596,60,277.532,-6.72,613143,0.854,1.335,-0.187,0,
103,32.60,1.552,52,277.532,-7.52,613143,0.829,1.296,-0.203,0,
107,32.62,1.532,53,277.532,-8.32,613143,0.817,1.277,-0.222,0,
111,32.63,1.608,53,277.532,-9.12,613143,0.856,1.337,-0.255,0,
115,27.80,1.704,40,277.532,-9.92,613143,0.783,1.485,-0.294,0,
7,32.70,1.656,29,277.582,11.66,613227,0.876,1.365,0.335,0,
11,32.71,1.628,39,277.582,10.86,613227,0.864,1.345,0.307,0,
15,32.72,1.632,47,277.582,10.06,613227,0.869,1.352,0.285,0,
19,27.91,1.532,77,277.582,9.26,613227,0.708,1.336,0.247,0,
23,27.90,1.524,71,277.582,8.46,613227,0.705,1.332,0.224,0,
27,27.91,1.572,59,277.582,7.66,613227,0.729,1.377,0.210,0,
31,27.92,1.532,70,277.582,6.86,613227,0.712,1.344,0.183,0,
35,32.72,1.608,52,277.582,6.07,613227,0.864,1.345,0.170,0,
39,32.71,1.544,57,277.582,5.27,613227,0.831,1.294,0.142,0,
43,32.72,1.544,69,277.582,4.47,613227,0.832,1.295,0.120,0,
47,32.73,1.592,58,277.582,3.67,613227,0.859,1.336,0.102,0,
51,27.92,1.500,64,277.582,2.87,613227,0.701,1.324,0.075,0,
55,27.91,1.524,67,277.582,2.07,613227,0.713,1.346,0.055,0,
59,27.94,1.544,72,277.582,1.27,613227,0.723,1.364,0.034,0,
63,27.94,1.520,61,277.582,0.47,613227,0.712,1.343,0.012,0,
67,32.84,1.564,57,277.632,-0.33,613227,0.848,1.314,-0.009,0,
71,32.81,1.552,60,277.632,-1.13,613227,0.841,1.304,-0.031,0,
75,32.84,1.540,62,277.632,-1.93,613227,0.835,1.293,-0.052,0,
79,32.83,1.536,61,277.632,-2.73,613227,0.832,1.289,-0.073,0,
83,28.03,1.548,83,277.632,-3.53,613227,0.726,1.364,-0.095,0,
87,28.01,1.552,78,277.632,-4.33,613227,0.727,1.366,-0.117,0,
91,28.03,1.500,77,277.632,-5.13,613227,0.702,1.319,-0.134,0,
95,28.02,1.488,71,277.632,-5.92,613227,0.695,1.307,-0.154,0,
99,32.81,1.596,57,277.632,-6.72,613227,0.859,1.332,-0.187,0,
103,32.80,1.552,52,277.632,-7.52,613227,0.834,1.293,-0.203,0,
107,32.82,1.548,58,277.632,-8.32,613227,0.830,1.287,-0.224,0,
111,32.83,1.544,55,277.632,-9.12,613227,0.827,1.281,-0.245,0,
115,28.00,1.620,51,277.632,-9.92,613227,0.749,1.409,-0.279,0,
119,28.00,1.640,39,277.632,-10.72,613227,0.757,1.423,-0.305,0,
3,32.92,1.716,29,277.682,12.46,613311,0.911,1.406,0.370,0,
7,32.90,1.700,37,277.682,11.66,613311,0.904,1.398,0.344,0,
11,32.91,1.632,37,277.682,10.86,613311,0.871,1.345,0.308,0,
15,32.92,1.644,43,277.682,10.06,613311,0.880,1.359,0.287,0,
19,28.11,1.516,72,277.682,9.26,613311,0.705,1.320,0.244,0,
23,28.10,1.548,70,277.682,8.46,613311,0.721,1.351,0.228,0,
27,28.11,1.556,63,277.682,7.66,613311,0.727,1.360,0.208,0,
31,28.12,1.492,66,277.682,6.86,613311,0.698,1.306,0.178,0,
35,32.92,1.596,48,277.682,6.07,613311,0.863,1.332,0.169,0,
39,32.91,1.568,64,277.682,5.27,613311,0.848,1.311,0.144,0,
43,32.92,1.552,68,277.682,4.47,613311,0.841,1.299,0.121,0,
47,32.93,1.588,56,277.682,3.67,613311,0.862,1.330,0.102,0,
51,28.12,1.512,64,277.682,2.87,613311,0.712,1.332,0.076,0,
55,28.11,1.548,73,277.682,2.07,613311,0.729,1.365,0.056,0,
59,28.14,1.524,63,277.682,1.27,613311,0.718,1.344,0.034,0,
63,28.14,1.580,63,277.682,0.47,613311,0.745,1.393,0.013,0,
67,33.04,1.564,57,277.732,-0.33,613311,0.853,1.311,-0.009,0,
71,33.01,1.600,59,277.732,-1.13,613311,0.872,1.341,-0.032,0,
75,33.04,1.560,59,277.732,-1.93,613311,0.850,1.307,-0.052,0,
79,33.03,1.536,60,277.732,-2.73,613311,0.836,1.286,-0.073,0,
83,28.23,1.524,84,277.732,-3.53,613311,0.719,1.340,-0.094,0,
87,28.21,1.564,77,277.732,-4.33,613311,0.737,1.374,-0.118,0,
91,28.23,1.516,82,277.732,-5.13,613311,0.714,1.330,-0.135,0,
95,28.22,1.520,68,277.732,-5.92,613311,0.715,1.332,-0.157,0,
